max_df,min_df,phrase_len,alpha,lin_reg_mse,lasso_mse,ridge_mse,baseline_mse
0.1,0.0,7,0.0001,963.8569324641885,1283.1886129542481,963.6125932541563,983.5006249999997
0.1,0.0,7,0.001,1148.7914731335397,888.9643412880756,1149.157894480429,1176.465625000002
0.1,0.0,7,0.001,13820.118739946585,14552.873141653157,13823.492417780139,14081.770000000004
0.1,0.0,7,0.001,1390.3892382389859,1181.9298893686457,1389.53630923197,1424.6489062499984
0.1,0.0,7,0.001,1606.343449019619,1368.3011002323187,1604.966976157767,1649.99765625
0.1,0.0,7,0.001,16474.21809420038,14140.557670167464,16473.940045220636,16743.98640624999
0.1,0.0,7,0.001,4205.66830653165,4168.243099031153,4205.824766100486,4270.0739062500015
0.1,0.0,7,0.001,4209.738114502608,1147.899554176464,4210.091892146194,4491.560625000003
0.1,0.0,7,0.001,4257.317400715991,4489.539786649131,4257.212256078217,4278.615625
0.1,0.0,7,0.001,9400.894664861364,10069.260440141725,9404.297972714487,9388.585624999996
0.1,0.0,7,0.001,957.0531519899854,1098.5042112216474,955.3307206252227,971.60390625
0.1,0.0,7,0.001,963.8569324641885,1164.9544536917372,963.6316664587415,983.5006249999997
0.1,0.0,7,0.01,1148.7914731335397,832.8113246640787,1151.0982671870597,1176.465625000002
0.1,0.0,7,0.01,13820.118739946585,14190.031075457824,13827.144119754457,14081.770000000004
0.1,0.0,7,0.01,1390.3892382389859,1181.3328914427436,1390.3366367570984,1424.6489062499984
0.1,0.0,7,0.01,1606.343449019619,1673.0263207151725,1605.2042034126373,1649.99765625
0.1,0.0,7,0.01,16474.21809420038,14035.972340310007,16477.238452828242,16743.98640624999
0.1,0.0,7,0.01,4205.66830653165,4171.027230458962,4206.657810268445,4270.0739062500015
0.1,0.0,7,0.01,4209.738114502608,1124.6093842024968,4212.854129524098,4491.560625000003
0.1,0.0,7,0.01,4257.317400715991,4453.930812631108,4257.281910830354,4278.615625
0.1,0.0,7,0.01,9400.894664861364,10313.937265685114,9404.105585842992,9388.585624999996
0.1,0.0,7,0.01,957.0531519899854,984.0751868597403,955.2824864132829,971.60390625
0.1,0.0,7,0.01,963.8569324641885,1125.5678799520128,963.8776369098578,983.5006249999997
0.1,0.0,7,0.1,1148.7914731335397,776.05454366051,1146.8066278604238,1176.465625000002
0.1,0.0,7,0.1,13820.118739946585,13675.86170934923,13842.805065783285,14081.770000000004
0.1,0.0,7,0.1,1390.3892382389859,1221.3763747804837,1397.4259387111354,1424.6489062499984
0.1,0.0,7,0.1,1606.343449019619,1827.9245906770557,1603.605551804195,1649.99765625
0.1,0.0,7,0.1,16474.21809420038,14172.346660776544,16505.486674721047,16743.98640624999
0.1,0.0,7,0.1,4205.66830653165,4194.269430270498,4212.244285609023,4270.0739062500015
0.1,0.0,7,0.1,4209.738114502608,1778.1609812796191,4234.9730064181385,4491.560625000003
0.1,0.0,7,0.1,4257.317400715991,4338.204146624676,4259.680615969627,4278.615625
0.1,0.0,7,0.1,9400.894664861364,9956.491935976508,9401.416857661889,9388.585624999996
0.1,0.0,7,0.1,957.0531519899854,961.5583623990827,956.2887092996145,971.60390625
0.1,0.0,7,0.1,963.8569324641885,1065.215485709821,965.3357317518228,983.5006249999997
0.1,0.0,7,1,1148.7914731335397,1176.465625000002,1156.157359457675,1176.465625000002
0.1,0.0,7,1,13820.118739946585,14081.770000000004,13943.213480996757,14081.770000000004
0.1,0.0,7,1,1390.3892382389859,1424.6489062499984,1410.9226768934643,1424.6489062499984
0.1,0.0,7,1,1606.343449019619,1649.99765625,1627.7761656479238,1649.99765625
0.1,0.0,7,1,16474.21809420038,16743.98640624999,16601.959545303722,16743.98640624999
0.1,0.0,7,1,4205.66830653165,4270.0739062500015,4235.2683130954665,4270.0739062500015
0.1,0.0,7,1,4209.738114502608,4491.560625000003,4349.267932910809,4491.560625000003
0.1,0.0,7,1,4257.317400715991,4278.615625,4267.276408883199,4278.615625
0.1,0.0,7,1,9400.894664861364,9388.585624999996,9393.701613565554,9388.585624999996
0.1,0.0,7,1,957.0531519899854,971.60390625,961.2217406256829,971.60390625
0.1,0.0,7,1,963.8569324641885,983.5006249999997,973.2601852473787,983.5006249999997
0.1,0.0,7,10,1148.7914731335397,1176.465625000002,1173.5696285895933,1176.465625000002
0.1,0.0,7,10,13820.118739946585,14081.770000000004,14057.677402806463,14081.770000000004
0.1,0.0,7,10,1390.3892382389859,1424.6489062499984,1421.0840334064565,1424.6489062499984
0.1,0.0,7,10,1606.343449019619,1649.99765625,1646.128084422564,1649.99765625
0.1,0.0,7,10,16474.21809420038,16743.98640624999,16718.596216236918,16743.98640624999
0.1,0.0,7,10,4205.66830653165,4270.0739062500015,4263.80047661059,4270.0739062500015
0.1,0.0,7,10,4209.738114502608,4491.560625000003,4465.196376211151,4491.560625000003
0.1,0.0,7,10,4257.317400715991,4278.615625,4276.454101808742,4278.615625
0.1,0.0,7,10,9400.894664861364,9388.585624999996,9390.57801324777,9388.585624999996
0.1,0.0,7,10,957.0531519899854,971.60390625,969.5887314589578,971.60390625
0.1,0.0,7,10,963.8569324641885,983.5006249999997,981.5976644337928,983.5006249999997
0.1,0.0,7,100,1148.7914731335397,1176.465625000002,1174.776949060146,1176.465625000002
0.1,0.0,7,100,13820.118739946585,14081.770000000004,14068.133745712516,14081.770000000004
0.1,0.0,7,100,1390.3892382389859,1424.6489062499984,1425.490508294279,1424.6489062499984
0.1,0.0,7,100,1606.343449019619,1649.99765625,1649.7152091072744,1649.99765625
0.1,0.0,7,100,16474.21809420038,16743.98640624999,16739.74653609806,16743.98640624999
